15:58:10.741 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
15:58:10.741 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 1749 ms
15:58:11.838 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver 59 - Exposing 15 endpoint(s) beneath base path '/actuator'
15:58:11.889 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8888"]
15:58:11.937 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 8888 (http) with context path '/api'
15:58:11.940 [main] INFO  c.i.log.stack.LogStackApplication 59 - Started LogStackApplication in 3.354 seconds (JVM running for 4.058)
15:58:12.313 [RMI TCP Connection(2)-192.168.1.2] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:58:12.313 [RMI TCP Connection(2)-192.168.1.2] INFO  o.s.web.servlet.DispatcherServlet 524 - Initializing Servlet 'dispatcherServlet'
15:58:12.323 [RMI TCP Connection(2)-192.168.1.2] INFO  o.s.web.servlet.DispatcherServlet 546 - Completed initialization in 9 ms
15:58:27.877 [ForkJoinPool.commonPool-worker-2] INFO  c.i.l.s.service.ImoocerServiceImpl 119 - coming in compute pic: [fangao.jpg]
15:58:27.877 [ForkJoinPool.commonPool-worker-3] INFO  c.i.l.s.service.ImoocerServiceImpl 119 - coming in compute pic: [fangao.jpg]
15:58:27.877 [ForkJoinPool.commonPool-worker-4] INFO  c.i.l.s.service.ImoocerServiceImpl 119 - coming in compute pic: [fangao.jpg]
15:58:27.878 [ForkJoinPool.commonPool-worker-6] INFO  c.i.l.s.service.ImoocerServiceImpl 119 - coming in compute pic: [fangao.jpg]
15:58:27.866 [ForkJoinPool.commonPool-worker-1] INFO  c.i.l.s.service.ImoocerServiceImpl 119 - coming in compute pic: [fangao.jpg]
15:58:27.878 [ForkJoinPool.commonPool-worker-5] INFO  c.i.l.s.service.ImoocerServiceImpl 119 - coming in compute pic: [fangao.jpg]
15:58:27.878 [ForkJoinPool.commonPool-worker-7] INFO  c.i.l.s.service.ImoocerServiceImpl 119 - coming in compute pic: [fangao.jpg]
