15:54:12.532 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 67896 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
15:54:12.539 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
15:54:13.286 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
15:54:13.290 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
15:54:13.322 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 17ms. Found 0 repository interfaces.
15:54:13.869 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
15:54:13.881 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
15:54:13.888 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
15:54:13.889 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
15:54:13.961 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
15:54:13.962 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 1386 ms
15:54:14.305 [main] INFO  o.a.catalina.core.StandardService 173 - Stopping service [Tomcat]
15:54:14.318 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener 142 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
16:20:46.742 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 73546 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
16:20:46.745 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
16:20:47.448 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
16:20:47.449 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
16:20:47.469 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 12ms. Found 0 repository interfaces.
16:20:47.901 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
16:20:47.911 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
16:20:47.917 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
16:20:47.918 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
16:20:47.978 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
16:20:47.979 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 1206 ms
16:20:48.315 [main] INFO  o.a.catalina.core.StandardService 173 - Stopping service [Tomcat]
16:20:48.327 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener 142 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
16:23:30.592 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 74086 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
16:23:30.595 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
16:23:31.279 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
16:23:31.281 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
16:23:31.305 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 14ms. Found 0 repository interfaces.
16:23:31.755 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
16:23:31.766 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
16:23:31.772 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
16:23:31.773 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
16:23:31.833 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
16:23:31.833 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 1212 ms
16:23:32.490 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver 59 - Exposing 15 endpoint(s) beneath base path '/actuator'
16:23:32.528 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8888"]
16:23:32.547 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 8888 (http) with context path '/api'
16:23:32.550 [main] INFO  c.i.log.stack.LogStackApplication 59 - Started LogStackApplication in 2.194 seconds (JVM running for 2.704)
16:23:33.076 [RMI TCP Connection(1)-192.168.1.2] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:23:33.076 [RMI TCP Connection(1)-192.168.1.2] INFO  o.s.web.servlet.DispatcherServlet 524 - Initializing Servlet 'dispatcherServlet'
16:23:33.081 [RMI TCP Connection(1)-192.168.1.2] INFO  o.s.web.servlet.DispatcherServlet 546 - Completed initialization in 5 ms
16:30:41.706 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 75521 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
16:30:41.710 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
16:30:42.664 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
16:30:42.668 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
16:30:42.710 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 22ms. Found 0 repository interfaces.
16:30:43.403 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
16:30:43.422 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
16:30:43.431 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
16:30:43.432 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
16:30:43.530 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
16:30:43.530 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 1769 ms
16:30:44.013 [main] INFO  o.a.catalina.core.StandardService 173 - Stopping service [Tomcat]
16:30:44.026 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener 142 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
16:36:29.350 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 76672 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
16:36:29.353 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
16:36:30.346 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
16:36:30.350 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
16:36:30.394 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 25ms. Found 0 repository interfaces.
16:36:31.005 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
16:36:31.020 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
16:36:31.027 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
16:36:31.027 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
16:36:31.107 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
16:36:31.108 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 1716 ms
16:36:31.536 [main] INFO  o.a.catalina.core.StandardService 173 - Stopping service [Tomcat]
16:36:31.550 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener 142 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
