16:27:26.286 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
16:27:26.317 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 15ms. Found 0 repository interfaces.
16:27:27.090 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
16:27:27.105 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
16:27:27.113 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
16:27:27.113 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
16:27:27.195 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
16:27:27.195 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 1635 ms
16:27:28.018 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver 59 - Exposing 15 endpoint(s) beneath base path '/actuator'
16:27:28.060 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8888"]
16:27:28.121 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 8888 (http) with context path '/api'
16:27:28.124 [main] INFO  c.i.log.stack.LogStackApplication 59 - Started LogStackApplication in 2.894 seconds (JVM running for 3.527)
16:27:28.334 [RMI TCP Connection(2)-172.16.2.28] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:27:28.334 [RMI TCP Connection(2)-172.16.2.28] INFO  o.s.web.servlet.DispatcherServlet 524 - Initializing Servlet 'dispatcherServlet'
16:27:28.341 [RMI TCP Connection(2)-172.16.2.28] INFO  o.s.web.servlet.DispatcherServlet 546 - Completed initialization in 7 ms
